Country,PM25,PM10,NO2
Andorra,0.0,23.2,26.55
Argentina,0.0,24.4,16.6
Australia,4.836,18.991999999999997,4.162
Austria,4.245826086956521,15.246521739130435,16.384260869565217
Bahamas,5.23,5.81,0.0
Bahrain,0.0,106.37,0.0
Bangladesh,72.29375,146.69375,28.09375
Belgium,9.413833333333335,15.652,18.017999999999997
Bosnia and Herzegovina,11.072222222222223,35.221111111111114,19.35888888888889
Brazil,3.5130769230769228,23.985641025641026,13.896153846153847
Bulgaria,5.077407407407407,31.754074074074076,10.082962962962963
Canada,7.003666666666667,1.7805555555555554,9.146166666666666
Chile,15.0,38.0,0.0
China,40.40886066204773,0.236189376443418,0.0
Colombia,16.15125,20.255,0.0
Costa Rica,9.0,23.55,8.142
Croatia,8.958571428571428,14.86095238095238,8.697142857142856
Cyprus,12.941999999999998,26.514,8.612
Czechia,10.955263157894738,23.195999999999998,7.8475789473684205
Denmark,6.79,11.723333333333334,12.066666666666668
Ecuador,19.84,33.22,24.09
El Salvador,29.0,0.0,0.0
Estonia,6.095714285714286,9.370000000000001,6.505714285714285
Ethiopia,28.79,0.0,0.0
Finland,2.6073333333333335,11.372000000000002,7.809333333333333
France,3.8095197740112994,14.473220338983053,14.737203389830508
Germany,5.566165191740414,13.923598820058999,22.968997050147493
Greece,7.377777777777776,26.893888888888892,17.844444444444445
Hungary,5.866842105263157,25.796315789473685,17.812631578947368
Iceland,3.7142857142857144,9.415714285714285,7.721428571428571
India,14.87228813559322,92.13290960451977,20.227598870056497
Indonesia,41.25,0.0,0.0
Iran (Islamic Republic of),28.29111111111111,0.0,4.787777777777778
Iraq,0.0,201.88666666666668,27.0
Ireland,4.1979999999999995,9.057333333333332,8.207333333333333
Italy,7.574429223744292,20.027100456621007,18.693493150684933
Japan,11.471333333333332,0.0,19.646666666666665
Jordan,0.0,65.4375,20.825
Kazakhstan,32.25,0.0,0.0
Kenya,5.91,14.55,0.0
Kuwait,56.5,0.0,0.0
Latvia,14.168000000000001,21.872,13.937999999999999
Lithuania,6.836,24.32,14.855
Luxembourg,3.55625,9.32375,22.29375
Malta,12.08125,23.6475,15.655
Mexico,11.448409090909092,33.73568181818182,24.167727272727276
Monaco,0.0,11.5,34.25
Mongolia,74.0,136.0,0.0
Montenegro,0.0,46.77333333333333,13.326666666666668
Morocco,0.0,29.1575,12.235000000000001
Nepal,49.019999999999996,31.2275,0.0
Netherlands,7.5942307692307685,18.514615384615386,18.544423076923074
North Macedonia,0.0,45.04625,12.1725
Norway,6.259722222222222,14.416666666666666,16.249444444444446
Pakistan,37.83,0.0,29.2
Peru,21.65833333333333,71.85333333333334,9.411666666666667
Philippines,3.0,21.916666666666668,0.0
Poland,9.09265625,30.17109375,9.678020833333333
Portugal,1.4143999999999999,15.431,13.386
Qatar,44.0,181.0,47.0
Republic of Korea,22.58823529411765,40.470588235294116,34.17176470588235
Romania,2.3829347826086957,19.163152173913044,18.582391304347826
Senegal,42.0,136.19,15.68
Serbia,0.0,20.59,21.24625
Singapore,15.0,29.0,26.0
Slovakia,15.779677419354838,22.31967741935484,12.248064516129032
Slovenia,4.390714285714286,24.032142857142855,12.000714285714285
South Africa,13.843846153846155,34.46307692307692,23.20230769230769
Spain,2.758223684210526,12.592664473684211,13.882006578947369
Sri Lanka,31.66,0.0,0.0
Sweden,2.232075471698113,11.379433962264152,13.522075471698113
Switzerland,3.8876363636363633,13.966818181818182,19.30209090909091
Trinidad and Tobago,6.2,23.05,6.550000000000001
Turkey,4.71125,43.597321428571426,15.418928571428571
Uganda,59.04,0.0,0.0
Ukraine,22.82,37.84,0.0
United Arab Emirates,20.612000000000002,112.718,39.477999999999994
United Kingdom,5.241121495327103,7.244766355140188,20.79841121495327
United States of America,3.2983888888888893,11.599833333333333,6.764333333333333
Uruguay,12.0,19.0,0.0
Uzbekistan,43.09,0.0,0.0
Viet Nam,33.38,0.0,0.0
