Country,PM25,PM10,NO2
Albania,8.716,20.374000000000002,14.868
Andorra,0.0,27.04,26.65
Argentina,10.26,27.87,0.0
Australia,4.336060606060606,17.368787878787877,3.232727272727273
Austria,2.835948275862069,14.861896551724138,18.609827586206894
Bangladesh,74.25874999999999,112.88125,35.12
Belgium,9.183787878787879,14.92681818181818,19.42560606060606
Bhutan,0.0,158.5,0.0
Brazil,2.921186440677966,30.155084745762714,12.795593220338985
Bulgaria,4.279642857142857,36.54,10.44357142857143
Canada,6.710194805194805,2.1392207792207794,8.107142857142858
Chile,22.63186046511628,46.79511627906977,0.48860465116279067
China,49.48566972477064,1.6972477064220184,6.7376146788990825
Colombia,10.934999999999999,46.405,10.51
Costa Rica,24.0,0.0,0.0
Croatia,8.917857142857143,19.529285714285713,9.897142857142857
Cuba,34.8,0.0,0.0
Cyprus,15.953999999999999,20.642000000000003,6.784000000000001
Czechia,6.292987012987013,21.18922077922078,9.113506493506494
Denmark,4.2212499999999995,10.3275,12.541250000000002
Ecuador,8.635,38.725,22.42
Egypt,0.0,266.5,0.0
El Salvador,27.8,0.0,0.0
Estonia,4.5442857142857145,7.048571428571429,6.217142857142858
Fiji,8.1,0.0,0.0
Finland,2.5738709677419354,11.272258064516128,9.044193548387097
France,4.390138888888889,15.810666666666666,17.47341666666667
Georgia,24.5,47.5,0.0
Germany,5.226727272727272,14.54409090909091,24.18569696969697
Ghana,0.0,176.4,0.0
Greece,2.093888888888889,16.183888888888887,22.988333333333333
Honduras,0.0,31.5,0.0
Hungary,0.0,25.030526315789473,17.652105263157893
Iceland,6.43,9.5225,11.4525
Indonesia,31.485,0.0,0.0
Iran (Islamic Republic of),29.83,77.68,93.16
Iraq,0.0,208.13,0.0
Ireland,3.1936363636363634,8.459090909090909,3.6318181818181823
Israel,13.741515151515152,37.97545454545455,0.0
Italy,8.671410256410256,22.83130769230769,22.162358974358973
Jamaica,0.0,41.465,0.0
Jordan,4.75,76.0275,0.0
Kuwait,17.436363636363637,138.23181818181817,56.026363636363634
Latvia,12.956,21.222,15.712
Lebanon,15.0,43.0,47.0
Lithuania,4.68,23.052500000000002,12.7975
Luxembourg,6.95,15.569999999999999,13.174000000000001
Madagascar,8.0,13.0,0.0
Malta,10.65,17.884,10.486
Mauritius,0.0,14.28,0.0
Mexico,14.600370370370369,38.907407407407405,11.477037037037038
Mongolia,75.0,141.0,37.0
Montenegro,0.0,57.515,23.27
Myanmar,0.0,54.8,6.1
Netherlands,5.406724137931034,17.849999999999998,19.44948275862069
New Zealand,2.523823529411765,16.261764705882353,0.8605882352941175
Norway,4.743181818181818,14.122727272727273,19.582272727272727
Peru,12.657692307692308,74.98615384615385,12.694615384615386
Philippines,19.045454545454547,15.200909090909091,0.0
Poland,9.318057142857143,30.575085714285716,10.184914285714287
Portugal,3.3631707317073176,19.261219512195122,14.358780487804879
Republic of Korea,26.647058823529413,46.64705882352941,39.36941176470588
Romania,1.8983018867924528,17.086603773584905,7.99566037735849
Saudi Arabia,69.0,85.0,0.0
Senegal,33.0,145.0,19.6
Serbia,0.0,5.852,15.226999999999999
Singapore,24.0,0.0,22.0
Slovakia,12.438333333333333,16.04,6.648333333333333
Slovenia,3.7807142857142857,25.925714285714285,13.340714285714286
South Africa,15.49,31.798000000000002,21.15
Spain,2.726798679867987,14.347359735973598,15.944059405940594
Sweden,1.9954166666666666,9.124166666666666,10.228333333333333
Switzerland,1.5899074074074075,15.029814814814815,23.07277777777778
Thailand,13.935,39.845,9.735
Turkey,0.0,52.93623655913978,9.655698924731183
United Arab Emirates,0.0,141.81333333333333,26.13
United Kingdom,5.759795918367347,7.403673469387755,21.221326530612245
United States of America,3.5435975609756096,12.137378048780487,8.097439024390244
Viet Nam,13.626666666666667,24.150000000000002,0.0
