"Annual mean PM10 (Particulate matter with diameter of 10 ?m or less), by country",,,,,,,,,,,,,,,,,,,
Region,Country,Annual mean PM10,Year,Number and location,Temporal coverage,Reference,Urban population coverage,Reported or calculated mean,"Distribution of urban population into pollution levels (in %)
(based on city means)
ug/m3",,,,,,,,,,
,,ug/m3,, of stations,(%),,(%),,<20,20-30,30-50,50-70,70-90,90-110,110-130,130-170,170-210,Total,
EurHI,Sweden,25,2008,"0 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",97,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,17%,83%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Austria,25,2008,"5 urban background, 5 suburban background, 13 urban traffic, and 2 traffic suburban stations",96,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",38%,Calculated,0%,89%,11%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Netherlands,26,2008,"0 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",96,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",17%,Calculated,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Belgium,26,2008,"2 urban background, 12 suburban background, 2 urban traffic, and 1 traffic suburban stations",95,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",22%,Calculated,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,France,27,2008,"69 urban background, 36 suburban background, 22 urban traffic, and 4 traffic suburban stations",94,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",38%,Calculated,13%,55%,31%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Slovakia,27,2008,"7 urban background, 0 suburban background, 2 urban traffic, and 0 traffic suburban stations",98,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,0%,36%,64%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Denmark,27,2008,"1 urban background, 0 suburban background, 3 urban traffic, and 0 traffic suburban stations",85.5,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,0%,81%,19%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Hungary,27,2008,"3 urban background, 2 suburban background, 3 urban traffic, and 0 traffic suburban stations",80,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",30%,Calculated,6%,94%,0%,0%,0%,0%,0%,0%,0%,100%,
AmrLMI,Costa Rica,28,2007,NA,NA,"Ministerio de Ambiente, Energia y Telecomunicaciones (MINAET) - Dirección de Gestión de Calidad Ambiental; http://www.digeca.go.cr/documentos/aire/SEGUNDO%20INFORME%20CALIDAD%20DE%20AIRE%20FINAL%202.pdf (accessed 29 May 2011)",55%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurHI,Portugal,28,2008,"4 urban background, 3 suburban background, 5 urban traffic, and 0 traffic suburban stations",92,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",17%,Calculated,0%,52%,48%,0%,0%,0%,0%,0%,0%,100%,
